Kabupaten,Tahun,Bulan,Jumlah_Hotspot,Z_Score,Anomali
 SURABAYA,2023,6,5,-0.2607640220147616,False
 SURABAYA,2023,7,6,-0.0758586245861125,False
 SURABAYA,2023,8,12,1.0335737599857822,False
 SURABAYA,2023,9,18,2.1430061445576767,False
 SURABAYA,2023,10,13,1.2184791574144311,False
 SURABAYA,2023,11,19,2.327911541986326,False
 SURABAYA,2023,12,2,-0.8154802143007089,False
 SURABAYA,2024,2,2,-0.8154802143007089,False
 SURABAYA,2024,3,4,-0.4456694194434107,False
 SURABAYA,2024,5,8,0.2939521702711857,False
 SURABAYA,2024,6,5,-0.2607640220147616,False
 SURABAYA,2024,7,9,0.4788575676998348,False
 SURABAYA,2024,8,13,1.2184791574144311,False
 SURABAYA,2024,9,12,1.0335737599857822,False
 SURABAYA,2024,10,18,2.1430061445576767,False
 SURABAYA,2024,11,9,0.4788575676998348,False
 SURABAYA,2025,2,1,-1.0003856117293581,False
 SURABAYA,2025,3,2,-0.8154802143007089,False
 SURABAYA,2025,4,2,-0.8154802143007089,False
 SURABAYA,2025,5,1,-1.0003856117293581,False
 SURABAYA,2025,6,2,-0.8154802143007089,False
 SURABAYA,2025,7,4,-0.4456694194434107,False
 SURABAYA,2025,8,16,1.7731953497003785,False
 SURABAYA,2025,9,13,1.2184791574144311,False
 SURABAYA,2025,10,9,0.4788575676998348,False
BANGKALAN,2021,3,1,-1.013355246399502,False
BANGKALAN,2021,6,1,-1.013355246399502,False
BANGKALAN,2022,7,11,-0.4477616205021055,False
BANGKALAN,2022,8,22,0.17439136798503047,False
BANGKALAN,2022,9,9,-0.5608803456815847,False
BANGKALAN,2022,12,1,-1.013355246399502,False
BANGKALAN,2023,5,5,-0.7871177960405433,False
BANGKALAN,2023,6,39,1.1359005320106044,False
BANGKALAN,2023,7,39,1.1359005320106044,False
BANGKALAN,2023,8,30,0.6268662687029476,False
BANGKALAN,2023,9,21,0.11783200539529085,False
BANGKALAN,2023,10,26,0.400628818343989,False
BANGKALAN,2024,6,27,0.45718818093372865,False
BANGKALAN,2024,7,45,1.4752567075490421,False
BANGKALAN,2024,8,48,1.644934795318261,False
BANGKALAN,2024,9,33,0.7965443564721665,False
BANGKALAN,2024,10,3,-0.9002365212200226,False
BANGKALAN,2025,4,1,-1.013355246399502,False
BANGKALAN,2025,5,1,-1.013355246399502,False
BANGKALAN,2025,6,1,-1.013355246399502,False
BANGKALAN,2025,7,32,0.7399849938824268,False
BANGKALAN,2025,8,53,1.9277316082669589,False
BANGKALAN,2025,9,2,-0.9567958838097622,False
BANGKALAN,2025,10,3,-0.9002365212200226,False
BANYUWANGI,2021,2,1,-0.5910920092121916,False
BANYUWANGI,2021,3,4,-0.5486293869991347,False
BANYUWANGI,2021,6,1,-0.5910920092121916,False
BANYUWANGI,2021,7,3,-0.562783594403487,False
BANYUWANGI,2021,9,1,-0.5910920092121916,False
BANYUWANGI,2021,10,10,-0.46370414257302073,False
BANYUWANGI,2021,12,1,-0.5910920092121916,False
BANYUWANGI,2022,3,4,-0.5486293869991347,False
BANYUWANGI,2022,4,2,-0.5769378018078394,False
BANYUWANGI,2022,5,1,-0.5910920092121916,False
BANYUWANGI,2022,6,11,-0.4495499351686684,False
BANYUWANGI,2022,7,21,-0.30800786112514517,False
BANYUWANGI,2022,8,39,-0.053232127846803305,False
BANYUWANGI,2022,9,85,0.5978614127534037,False
BANYUWANGI,2022,10,5,-0.5344751795947824,False
BANYUWANGI,2022,11,7,-0.5061667647860777,False
BANYUWANGI,2022,12,1,-0.5910920092121916,False
BANYUWANGI,2023,3,2,-0.5769378018078394,False
BANYUWANGI,2023,4,2,-0.5769378018078394,False
BANYUWANGI,2023,5,8,-0.4920125573817254,False
BANYUWANGI,2023,6,54,0.15908098321848158,False
BANYUWANGI,2023,7,59,0.2298520202402432,False
BANYUWANGI,2023,8,231,2.6643756937888434,False
BANYUWANGI,2023,9,162,1.6877353828885326,False
BANYUWANGI,2023,10,249,2.919151427067185,False
BANYUWANGI,2023,11,75,0.4563193387098804,False
BANYUWANGI,2023,12,12,-0.43539572776431607,False
BANYUWANGI,2024,1,3,-0.562783594403487,False
BANYUWANGI,2024,2,1,-0.5910920092121916,False
BANYUWANGI,2024,4,2,-0.5769378018078394,False
BANYUWANGI,2024,5,1,-0.5910920092121916,False
BANYUWANGI,2024,6,27,-0.2230826166990312,False
BANYUWANGI,2024,7,32,-0.15231157967726958,False
BANYUWANGI,2024,8,289,3.485319723241278,True
BANYUWANGI,2024,9,175,1.871740079145113,False
BANYUWANGI,2024,10,102,0.8384829386273932,False
BANYUWANGI,2024,11,24,-0.2655452389120882,False
BANYUWANGI,2025,3,3,-0.562783594403487,False
BANYUWANGI,2025,4,4,-0.5486293869991347,False
BANYUWANGI,2025,5,1,-0.5910920092121916,False
BANYUWANGI,2025,7,13,-0.42124152035996376,False
BANYUWANGI,2025,8,64,0.30062305726200483,False
BANYUWANGI,2025,9,93,0.7110950719882223,False
BANYUWANGI,2025,10,74,0.4421651313055281,False
BANYUWANGI,2025,11,6,-0.52032097219043,False
BANYUWANGI,2025,12,2,-0.5769378018078394,False
BLITAR,2021,10,2,-0.6440057871101004,False
BLITAR,2022,6,3,-0.6054858147969728,False
BLITAR,2022,7,10,-0.3358460086050804,False
BLITAR,2022,8,3,-0.6054858147969728,False
BLITAR,2022,9,10,-0.3358460086050804,False
BLITAR,2022,10,4,-0.5669658424838454,False
BLITAR,2022,12,1,-0.6825257594232279,False
BLITAR,2023,4,1,-0.6825257594232279,False
BLITAR,2023,5,8,-0.41288595323133537,False
BLITAR,2023,6,19,0.01083374221306711,False
BLITAR,2023,7,12,-0.2588060639788254,False
BLITAR,2023,8,33,0.5501133545968521,False
BLITAR,2023,9,71,2.013872302495697,False
BLITAR,2023,10,65,1.782752468616932,False
BLITAR,2023,11,15,-0.14324614703944288,False
BLITAR,2023,12,10,-0.3358460086050804,False
BLITAR,2024,1,2,-0.6440057871101004,False
BLITAR,2024,2,1,-0.6825257594232279,False
BLITAR,2024,4,1,-0.6825257594232279,False
BLITAR,2024,5,2,-0.6440057871101004,False
BLITAR,2024,6,15,-0.14324614703944288,False
BLITAR,2024,7,33,0.5501133545968521,False
BLITAR,2024,8,100,3.1309514995763945,True
BLITAR,2024,9,87,2.630191859505737,False
BLITAR,2024,10,32,0.5115933822837246,False
BLITAR,2024,11,2,-0.6440057871101004,False
BLITAR,2025,5,1,-0.6825257594232279,False
BLITAR,2025,6,9,-0.3743659809182079,False
BLITAR,2025,7,12,-0.2588060639788254,False
BLITAR,2025,8,17,-0.06620620241318789,False
BLITAR,2025,9,6,-0.4899258978575904,False
BLITAR,2025,10,12,-0.2588060639788254,False
BOJONEGORO,2022,2,1,-0.6720035513425571,False
BOJONEGORO,2022,4,2,-0.6636775161524648,False
BOJONEGORO,2022,5,14,-0.5637650938713578,False
BOJONEGORO,2022,6,23,-0.4888307771605275,False
BOJONEGORO,2022,7,10,-0.5970692346317268,False
BOJONEGORO,2022,8,28,-0.4472006012100662,False
BOJONEGORO,2022,9,56,-0.21407161588748308,False
BOJONEGORO,2022,10,6,-0.6303733753920958,False
BOJONEGORO,2022,11,10,-0.5970692346317268,False
BOJONEGORO,2022,12,3,-0.6553514809623726,False
BOJONEGORO,2023,2,3,-0.6553514809623726,False
BOJONEGORO,2023,3,23,-0.4888307771605275,False
BOJONEGORO,2023,4,28,-0.4472006012100662,False
BOJONEGORO,2023,5,51,-0.25570179183794434,False
BOJONEGORO,2023,6,113,0.2605123899477755,False
BOJONEGORO,2023,7,283,1.6759383722634589,False
BOJONEGORO,2023,8,399,2.6417584543141603,False
BOJONEGORO,2023,9,295,1.7758507945445658,False
BOJONEGORO,2023,10,190,0.9016170995848791,False
BOJONEGORO,2023,11,79,-0.022572806515361202,False
BOJONEGORO,2023,12,34,-0.3972443900695127,False
BOJONEGORO,2024,1,15,-0.5554390586812655,False
BOJONEGORO,2024,2,23,-0.4888307771605275,False
BOJONEGORO,2024,3,25,-0.47217870678034296,False
BOJONEGORO,2024,4,15,-0.5554390586812655,False
BOJONEGORO,2024,5,87,0.044035475005376835,False
BOJONEGORO,2024,6,76,-0.04755091208563797,False
BOJONEGORO,2024,7,162,0.6684881142622959,False
BOJONEGORO,2024,8,613,4.423529984993903,True
BOJONEGORO,2024,9,233,1.259636612758846,False
BOJONEGORO,2024,10,45,-0.3056580029784979,False
BOJONEGORO,2024,11,26,-0.46385267159025073,False
BOJONEGORO,2024,12,9,-0.605395269821819,False
BOJONEGORO,2025,1,4,-0.6470254457722803,False
BOJONEGORO,2025,2,18,-0.5304609531109887,False
BOJONEGORO,2025,3,30,-0.4305485308298817,False
BOJONEGORO,2025,4,36,-0.38059231968932816,False
BOJONEGORO,2025,5,36,-0.38059231968932816,False
BOJONEGORO,2025,6,52,-0.24737575664785208,False
BOJONEGORO,2025,7,93,0.09399168614593037,False
BOJONEGORO,2025,8,142,0.5019674104604509,False
BOJONEGORO,2025,9,159,0.6435100086920192,False
BOJONEGORO,2025,10,92,0.08566565095583811,False
BOJONEGORO,2025,11,14,-0.5637650938713578,False
BOJONEGORO,2025,12,21,-0.505482847540712,False
BONDOWOSO,2021,2,1,-0.539672622559171,False
BONDOWOSO,2021,6,1,-0.539672622559171,False
BONDOWOSO,2021,9,2,-0.5292896593510975,False
BONDOWOSO,2021,10,4,-0.5085237329349505,False
BONDOWOSO,2022,2,2,-0.5292896593510975,False
BONDOWOSO,2022,4,1,-0.539672622559171,False
BONDOWOSO,2022,5,24,-0.3008644687734797,False
BONDOWOSO,2022,6,28,-0.25933261594118556,False
BONDOWOSO,2022,7,15,-0.39431113764614156,False
BONDOWOSO,2022,8,21,-0.3320133583977003,False
BONDOWOSO,2022,9,54,0.01062442746872643,False
BONDOWOSO,2022,10,1,-0.539672622559171,False
BONDOWOSO,2023,1,7,-0.4773748433107298,False
BONDOWOSO,2023,4,1,-0.539672622559171,False
BONDOWOSO,2023,5,5,-0.49814076972687693,False
BONDOWOSO,2023,6,36,-0.17626891027659725,False
BONDOWOSO,2023,7,60,0.07292220671716766,False
BONDOWOSO,2023,8,192,1.4434733501828745,False
BONDOWOSO,2023,9,355,3.135896353098861,True
BONDOWOSO,2023,10,457,4.194958600322362,True
BONDOWOSO,2023,11,88,0.3636451765432267,False
BONDOWOSO,2023,12,11,-0.4358429904784357,False
BONDOWOSO,2024,2,1,-0.539672622559171,False
BONDOWOSO,2024,3,1,-0.539672622559171,False
BONDOWOSO,2024,5,9,-0.4566089168945828,False
BONDOWOSO,2024,6,11,-0.4358429904784357,False
BONDOWOSO,2024,7,41,-0.12435409423622956,False
BONDOWOSO,2024,8,129,0.7893466680742417,False
BONDOWOSO,2024,9,110,0.5920703671208446,False
BONDOWOSO,2024,10,263,2.180663737956096,False
