Tanggal,Prediksi,CI_Bawah,CI_Atas
2026-01-31,-159447091881.08124,,
2026-02-28,-163667194618.50232,,
2026-03-31,-166914000804.50427,,
2026-04-30,-169411985106.28946,,
2026-05-31,-171333850464.41135,,
2026-06-30,-172812469067.60016,,
2026-07-31,-173950068485.89194,,
2026-08-31,-174825297226.60684,,
2026-09-30,-175498672748.92392,,
2026-10-31,-176016745599.1695,,
2026-11-30,-203582276388.5252,,
2026-12-31,-224790274657.51962,,
